,0
REF_DATE,149760
GEO,0
DGUID,0
Selected characteristic,0
Indicators,0
Characteristics,0
UOM,0
UOM_ID,0
SCALAR_FACTOR,0
SCALAR_ID,0
VECTOR,0
COORDINATE,0
VALUE,0
DECIMALS,0
